Reducer 1:
<, 31> 
<prepared, 3> 
<preserved, 2> 
<pressed, 2> 
<pretty, 4> 
<prevailed, 2> 
<prevent, 4> 
<principles, 5> 
<private, 4> 
<proceed, 1> 
<procured, 2> 
<procuring, 5> 
<produce, 1> 
<produced, 1> 
<projecting, 2> 
<projection, 3> 
<promise, 4> 
<pronounce, 2> 
<properly, 1> 
<property, 6> 
<propriety, 2> 
<prospect, 3> 
<prosperous, 2> 
<provided, 4> 
<provision, 1> 
<prudent, 6> 
<pulled, 3> 
<purse, 2> 
<pursuit, 2> 
<put, 9> 
<questions, 1> 
<quick, 3> 
<quit, 1> 
<quitting, 1> 
<raillery, 1> 
<raising, 3> 
<rank, 2> 
<rapid, 1> 
<raptures, 1> 
<rapturous, 5> 
<rather, 3> 
<read, 1> 
<ready, 3> 
<real, 3> 
<really, 2> 
<reasonable, 4> 
<reasonably, 4> 
<received, 2> 
<recommend, 6> 
<regard, 1> 
<regret, 5> 
<regular, 1> 
<rejoiced, 2> 
<related, 1> 
<relation, 2> 
<relied, 2> 
<remain, 1> 
<remainder, 5> 
<remark, 1> 
<remarkably, 7> 
<remember, 2> 
<removal, 3> 
<remove, 3> 
<removed, 4> 
<removing, 3> 
<rent, 3> 
<repair, 1> 
<repeated, 2> 
<replying, 2> 
<repulsive, 4> 
<request, 1> 
<required, 6> 
<resembled, 5> 
<reserved, 1> 
<residence, 2> 
<resolution, 1> 
<resolve, 3> 
<resolved, 1> 
<resolving, 2> 
<resources, 4> 
<rest, 2> 
<result, 3> 
<returned, 4> 
<rich, 1> 
<right, 2> 
<roof, 2> 
<room, 3> 
<rooms, 5> 
<rose, 4> 
<round, 1> 
<roused, 1> 
<sake, 1> 
<same, 2> 
<sang, 1> 
<satisfied, 1> 
<savings, 1> 
<saw, 8> 
<say, 12> 
<scale, 4> 
<screened, 1> 
<season, 1> 
<secure, 2> 
<securing, 1> 
<see, 13> 
<seeing, 3> 
<seemed, 2> 
<seems, 2> 
<seen, 3> 
<sell, 3> 
<sending, 1> 
<sense, 2> 
<sensible, 4> 
<sent, 1> 
<sentiments, 7> 
<separate, 3> 
<september, 1> 
<servants, 1> 
<service, 1> 
<set, 12> 
<settle, 2> 
<settled, 1> 
<settling, 3> 
<seven, 2> 
<several, 4> 
<sex, 9> 
<shade, 1> 
<shall, 3> 
<shameless, 1> 
<share, 5> 
<she, 36> 
<shed, 6> 
<short, 1> 
<shortly, 1> 
<should, 5> 
<show, 2> 
<showing, 1> 
<shutters, 2> 
<shy, 11> 
<side, 3> 
<sight, 2> 
<silent, 1> 
<simple, 2> 
<simplicity, 2> 
<since, 2> 
<sincerity, 2> 
<sing, 1> 
<sir, 6> 
<sister, 5> 
<sitting, 5> 
<situation, 1> 
<six, 9> 
<sixteen, 1> 
<size, 3> 
<small, 3> 
<smallest, 6> 
<smallness, 2> 
<smart, 4> 
<smiling, 2> 
<snug, 2> 
<so, 44> 
<sociable, 1> 
<society, 1> 
<sold, 6> 
<solicitude, 11> 
<something, 2> 
<son, 6> 
<song, 1> 
<songs, 4> 
<sons, 4> 
<soon, 1> 
<sooner, 2> 
<sorry, 1> 
<speaking, 2> 
<speedily, 4> 
<spirit, 7> 
<spirits, 3> 
<spite, 1> 
<spoil, 2> 
<spoke, 1> 
<sportsman, 1> 
<sportsmen, 2> 
<spot, 3> 
<spring, 1> 
<square, 3> 
<stairs, 3> 
<stand, 4> 
<started, 2> 
<state, 1> 
<staying, 1> 
<steepest, 3> 
<still, 1> 
<stimulated, 3> 
<stood, 3> 
<strangers, 1> 
<strictly, 1> 
<striking, 1> 
<stronger, 1> 
<strongly, 1> 
<studied, 1> 
<stuff, 5> 
<style, 4> 
<subject, 3> 
<subjects, 5> 
<such, 4> 
<sudden, 1> 
<suffer, 2> 
<suffering, 3> 
<sufficient, 5> 
<suitable, 5> 
<summer, 3> 
<supplied, 2> 
<supply, 4> 
<suppose, 3> 
<supposing, 4> 
<sure, 4> 
<surprise, 4> 
<suspected, 3> 
<suspicion, 1> 
<sussex, 2> 
<sweetness, 2> 
<sympathize, 5> 
<taken, 2> 
<talent, 1> 
<talked, 2> 
<talking, 2> 
<tall, 1> 
<taste, 1> 
<tastes, 4> 
<tedious, 3> 
<tell, 1> 
<temper, 3> 
<ten, 10> 
<terminated, 7> 
<that, 5> 
<the, 30> 
<their, 5> 
<them, 2> 
<themselves, 4> 
<then, 1> 
<there, 2> 
<therefore, 2> 
<these, 10> 
<they, 8> 
<things, 1> 
<think, 4> 
<this, 3> 
<those, 2> 
<though, 6> 
<thoughts, 2> 
<three, 3> 
<through, 1> 
<thrown, 2> 
<time, 2> 
<timed, 3> 
<to, 44> 
<together, 1> 
<told, 1> 
<tolerably, 3> 
<too, 14> 
<took, 3> 
<totally, 8> 
<travelling, 4> 
<trees, 1> 
<tried, 5> 
<trifling, 6> 
<true, 3> 
<truth, 5> 
<turned, 1> 
<twenty, 3> 
<two, 3> 
<unable, 1> 
<unaffected, 7> 
<uncivil, 1> 
<uncommonly, 7> 
<under, 1> 
<understood, 5> 
<uneasy, 2> 
<unfeeling, 2> 
<unknown, 1> 
<unlocked, 3> 
<unpacked, 3> 
<unpleasant, 4> 
<unpleasing, 5> 
<unreserved, 5> 
<unsatiable, 1> 
<up, 27> 
<upon, 3> 
<use, 17> 
<valley, 7> 
<vanity, 3> 
<venture, 3> 
<very, 2> 
<vicinity, 3> 
<view, 2> 
<views, 1> 
<village, 1> 
<visit, 4> 
<visitor, 2> 
<voice, 3> 
<vulgar, 2> 
<waited, 1> 
<waiting, 3> 
<walls, 4> 
<wandered, 2> 
<want, 2> 
<warmly, 3> 
<warmth, 7> 
<warrant, 4> 
<was, 6> 
<water, 1> 
<way, 13> 
<we, 19> 
<weather, 2> 
<weddings, 4> 
<welcomed, 1> 
<well, 1> 
<went, 1> 
<west, 2> 
<what, 6> 
<whatever, 5> 
<whether, 2> 
<which, 5> 
<while, 1> 
<who, 3> 
<whole, 1> 
<whom, 2> 
<whose, 4> 
<why, 13> 
<widen, 1> 
<widow, 1> 
<wife, 1> 
<will, 2> 
<winding, 3> 
<window, 1> 
<windows, 1> 
<winter, 2> 
<wise, 2> 
<wish, 1> 
<wished, 7> 
<wishes, 2> 
<with, 2> 
<within, 1> 
<without, 1> 
<wonder, 1> 
<wondered, 4> 
<wooded, 1> 
<world, 1> 
<worse, 3> 
<worthy, 3> 
<wound, 2> 
<written, 7> 
<wrong, 3> 
<ye, 28> 
<year, 1> 
<years, 4> 
<yet, 27> 
<you, 20> 
<young, 1> 
<yourself, 3> 
<zealously, 5> 
